42 0
      Na+1         0       Na+      71911-20968   2.74899820e-01   1.79886966e-01   2.08666223e-01  -1.96356892e-01  -4.35542312e-02  -1.04896310e-01
      Cl-2         1       Cl-      20968-11947   2.20113034e-01   1.91333777e-01   6.71912183e-01   7.01011390e-02   1.50380678e-01   1.68709890e-01
      Na+3         2       Na+      84105-24631   2.20687668e-01   1.94419008e-01   1.02681926e+00   1.18856382e-02  -7.38233161e-02  -6.88736884e-02
      Cl-4         3       Cl-       24428-5242   2.87998780e-01   1.57125646e-01   1.47539929e+00  -4.80243407e-02  -2.84471108e-02   1.29702077e-02
      Na+5         4       Na+      84665-17059   2.56241765e-01   1.80998727e-01   1.85745193e+00  -6.71310425e-02  -1.61192041e-01  -4.95117466e-02
      Cl-6         5       Cl-      83149-11280   2.19263431e-01   1.67793252e-01   2.28435160e+00  -9.93966002e-02   1.70282609e-01   2.03815196e-01
      Na+7         6       Na+      31995-62937   2.83096180e-01   1.00920196e-01   2.60438556e+00  -1.31362495e-01   4.15241421e-02  -8.80473909e-02
      Cl-8         7       Cl-      51197-73077   2.79285379e-01   1.47890685e-01   3.07160436e+00   1.38228624e-01   1.58616908e-02   1.42896924e-01
      Na+9         8       Na+      10371-55990   2.83552142e-01   1.28114770e-01   3.47865929e+00  -3.47399740e-02   1.29448022e-01   5.73008281e-02
     Cl-10         9       Cl-      78689-22798   2.03291320e-01   1.01629813e-01   3.89886558e+00   1.02790825e-01  -3.59323385e-02   1.28369152e-01
     Na+11        10       Na+      61559-19598   2.04108495e-01   1.65067627e-01   4.24179973e+00  -9.87267664e-02  -6.51268679e-02   2.94542832e-01
     Cl-12        11       Cl-      43210-63973   2.58859820e-01   1.19176140e-01   4.65180552e+00   4.54491006e-02  -1.41869894e-01   1.89153136e-01
     Na+13        12       Na+      67471-58303   2.63086496e-01   1.73692403e-01   5.06305399e+00   1.67039567e-01  -8.75558285e-02   9.53620614e-02
     Cl-14        13       Cl-      97595-97954   2.25992120e-01   1.53242565e-01   5.41041319e+00  -4.24341722e-01   6.03760726e-03  -6.97401900e-02
     Na+15        14       Na+      62150-91519   2.83491487e-01   1.18851382e-01   5.86984023e+00  -1.74357487e-02   7.01611617e-02  -6.98158726e-02
     Cl-16        15       Cl-      24696-44132   2.25831450e-01   1.34557907e-01   6.28989021e+00   1.63587597e-04   1.94013512e-03   9.88972333e-02
     Na+17        16       Na+      54487-90365   2.12688670e-01   1.71194478e-01   6.67906507e+00   4.56330911e-02   3.27080355e-02   3.96859029e-02
     Cl-18        17       Cl-      50468-56559   2.98663841e-01   1.86651779e-01   7.07118981e+00  -4.00507690e-03  -1.38462783e-02  -1.00915940e-01
     Na+19        18       Na+      98216-81027   2.35163994e-01   5.86444148e-01   2.82867234e-01   1.92194480e-01  -4.87587687e-02   9.81732432e-02
     Cl-20        19       Cl-      51583-21806   2.41171112e-01   5.75789901e-01   6.27785343e-01  -2.10278193e-02   9.45891823e-02  -1.20552100e-01
     Na+21        20       Na+      95579-97225   2.25740339e-01   5.64924208e-01   1.00295519e+00  -2.36650402e-01   1.03452086e-02   2.01034811e-02
     Cl-22        21       Cl-      84364-46108   2.94475217e-01   5.78587983e-01   1.46266866e+00  -1.45936452e-01  -1.03345547e-01   1.73708016e-02
