  122   240
     0.35682     0.00000     0.93417
     0.57735     0.57735     0.57735
     0.00000     0.93417     0.35682
    -0.57735     0.57735     0.57735
    -0.35682     0.00000     0.93417
     0.00000     0.93417    -0.35682
     0.57735     0.57735    -0.57735
     0.35682     0.00000    -0.93417
    -0.35682     0.00000    -0.93417
    -0.57735     0.57735    -0.57735
     0.57735    -0.57735    -0.57735
    -0.57735    -0.57735    -0.57735
     0.00000    -0.93417    -0.35682
     0.57735    -0.57735     0.57735
     0.00000    -0.93417     0.35682
    -0.57735    -0.57735     0.57735
     0.93417    -0.35682     0.00000
     0.93417     0.35682     0.00000
    -0.93417    -0.35682     0.00000
    -0.93417     0.35682     0.00000
     0.00000     0.52573     0.85065
    -0.85065     0.00000     0.52573
     0.00000    -0.52573     0.85065
     0.85065     0.00000     0.52573
     0.00000     0.52573    -0.85065
    -0.85065     0.00000    -0.52573
     0.00000    -0.52573    -0.85065
     0.85065     0.00000    -0.52573
     0.52573     0.85065     0.00000
    -0.52573     0.85065     0.00000
     0.52573    -0.85065     0.00000
    -0.52573    -0.85065     0.00000
     0.50000     0.30902     0.80902
     0.30474     0.58224     0.75374
     0.18834     0.27750     0.94208
     0.30902     0.80902     0.50000
     0.00000     0.77058     0.63734
    -0.30902     0.80902     0.50000
    -0.30474     0.58224     0.75374
    -0.50000     0.30902     0.80902
    -0.18834     0.27750     0.94208
     0.00000     0.00000     1.00000
    -0.75374     0.30474     0.58224
    -0.63734     0.00000     0.77058
    -0.80902     0.50000     0.30902
    -0.94208     0.18834     0.27750
    -1.00000     0.00000     0.00000
    -0.94208    -0.18834     0.27750
    -0.80902    -0.50000     0.30902
    -0.75374    -0.30474     0.58224
    -0.50000    -0.30902     0.80902
    -0.30474    -0.58224     0.75374
    -0.18834    -0.27750     0.94208
    -0.30902    -0.80902     0.50000
     0.00000    -0.77058     0.63734
     0.30902    -0.80902     0.50000
     0.30474    -0.58224     0.75374
     0.50000    -0.30902     0.80902
     0.18834    -0.27750     0.94208
     0.75374    -0.30474     0.58224
     0.63734     0.00000     0.77058
     0.80902    -0.50000     0.30902
     0.94208    -0.18834     0.27750
     1.00000     0.00000     0.00000
     0.94208     0.18834     0.27750
     0.80902     0.50000     0.30902
     0.75374     0.30474     0.58224
     0.50000     0.30902    -0.80902
     0.30474     0.58224    -0.75374
     0.18834     0.27750    -0.94208
     0.30902     0.80902    -0.50000
     0.00000     0.77058    -0.63734
    -0.30902     0.80902    -0.50000
    -0.30474     0.58224    -0.75374
    -0.50000     0.30902    -0.80902
    -0.18834     0.27750    -0.94208
     0.00000     0.00000    -1.00000
    -0.75374     0.30474    -0.58224
    -0.63734     0.00000    -0.77058
    -0.80902     0.50000    -0.30902
    -0.94208     0.18834    -0.27750
    -0.94208    -0.18834    -0.27750
    -0.80902    -0.50000    -0.30902
    -0.75374    -0.30474    -0.58224
    -0.50000    -0.30902    -0.80902
    -0.30474    -0.58224    -0.75374
    -0.18834    -0.27750    -0.94208
    -0.30902    -0.80902    -0.50000
     0.00000    -0.77058    -0.63734
     0.30902    -0.80902    -0.50000
     0.30474    -0.58224    -0.75374
     0.50000    -0.30902    -0.80902
     0.18834    -0.27750    -0.94208
     0.75374    -0.30474    -0.58224
     0.63734     0.00000    -0.77058
     0.80902    -0.50000    -0.30902
     0.94208    -0.18834    -0.27750
     0.94208     0.18834    -0.27750
     0.80902     0.50000    -0.30902
     0.75374     0.30474    -0.58224
     0.58224     0.75374    -0.30474
     0.77058     0.63734     0.00000
     0.27750     0.94208    -0.18834
     0.00000     1.00000     0.00000
     0.27750     0.94208     0.18834
     0.58224     0.75374     0.30474
    -0.58224     0.75374    -0.30474
    -0.27750     0.94208    -0.18834
    -0.77058     0.63734     0.00000
    -0.58224     0.75374     0.30474
    -0.27750     0.94208     0.18834
     0.58224    -0.75374     0.30474
     0.77058    -0.63734     0.00000
     0.27750    -0.94208     0.18834
     0.00000    -1.00000     0.00000
     0.27750    -0.94208    -0.18834
     0.58224    -0.75374    -0.30474
    -0.58224    -0.75374    -0.30474
    -0.27750    -0.94208    -0.18834
    -0.77058    -0.63734     0.00000
    -0.58224    -0.75374     0.30474
    -0.27750    -0.94208     0.18834
